Category,Question,Answer
Getting Started,What is CarMarket?,CarMarket is a modern full-stack marketplace for buying and selling used cars. It connects buyers and sellers through a secure platform with advanced search features and real-time messaging.
Getting Started,How do I get started on CarMarket?,"To get started, create a free account by clicking the ""Register"" button. Fill in your name, email, and password, then verify your email to begin browsing cars or listing your vehicle for sale."
Getting Started,Is CarMarket free to use?,"Yes, CarMarket is free for buyers to browse and search cars. Sellers can also list their cars for free on the platform."
Getting Started,What devices can I use to access CarMarket?,CarMarket is fully responsive and works on desktop computers (Windows/Mac/Linux), tablets (iPad/Android), and mobile phones (iOS/Android) through any modern web browser.
Getting Started,Do I need an account to browse cars?,"No, you can browse available cars without an account. However, you need to create an account to save favorites, contact sellers, or list your own car for sale."
Account Management,How do I create an account?,Click the Register button in the top right corner. Enter your first name, last name, email address, and password. After submitting, you'll receive a verification email.
Account Management,Can I register using social media?,"Yes, CarMarket supports OAuth authentication. You can register and login using your Google or Facebook account for quick access without creating a new password."
Account Management,How do I reset my password?,"Click on ""Forgot Password"" on the login page, enter your registered email address, and you'll receive a password reset link via email."
Account Management,How do I change my password?,"Log in to your account, go to your Profile page, and use the ""Change Password"" option. You'll need to enter your current password and new password."
Account Management,Can I update my profile information?,"Yes, go to your Profile page where you can update your name, email, phone number, location, and add a bio."
Account Management,How do I upload a profile picture?,Visit your Profile page and click on the avatar/profile picture area. You can upload an image file (JPG, PNG) to set as your profile picture.
Account Management,Is my personal information secure?,"Yes, CarMarket uses JWT (JSON Web Token) authentication for secure sessions, encrypted password storage with bcrypt hashing, and follows industry-standard security practices."
Account Management,How do I delete my account?,Contact support through the chat system or email to request account deletion. An administrator will process your request within 24-48 hours.
Account Management,Can I have multiple accounts?,"While technically possible, we recommend using only one account per user for better experience and to maintain trust within the community."
Browsing Cars,How do I search for cars?,"Use the search bar on the homepage to search by make, model, or keywords. You can also use the advanced filters to narrow down results by price, year, mileage, fuel type, body type, transmission, and location."
Browsing Cars,What filters are available?,Available filters include: Car Make, Model, Price Range (Min/Max), Year Range, Maximum Mileage, Fuel Type (Gasoline/Diesel/Electric/Hybrid), Body Type (Sedan/SUV/Truck/etc.), Transmission Type (Automatic/Manual), and Location.
Browsing Cars,How can I sort the search results?,"You can sort listings by: Newest First, Oldest First, Price (Low to High), Price (High to Low), Year (Newest First), Year (Oldest First), Mileage (Low to High), or Mileage (High to Low)."
Browsing Cars,How many cars are displayed per page?,"By default, 12 cars are shown per page. You can change this to show 6, 12, 24, or 48 cars per page using the pagination controls."
Browsing Cars,How do I view more details about a car?,"Click on any car card to open the detailed listing page with complete specifications, multiple photos, seller information, and contact options."
Browsing Cars,What information is shown in car listings?,"Each listing shows: Make & Model, Year, Price, Mileage, Engine Size, Horsepower, Fuel Type, Transmission, Body Type, Color, Number of Doors/Seats, Condition, Features, Service History, Accident History, Previous Owners, Location, and multiple photos."
